School Name,Division Name,free_reduced_lunch_percentage,Sch_Div
Buckingham Co Elementary,Buckingham County Public Schools,82.1,Buckingham Co Elementary Buckingham County Public Schools
Buckingham County High,Buckingham County Public Schools,55.4,Buckingham County High Buckingham County Public Schools
Buckingham County Middle,Buckingham County Public Schools,82.2,Buckingham County Middle Buckingham County Public Schools
Cumberland Elementary,Cumberland County Public Schools,85.8,Cumberland Elementary Cumberland County Public Schools
Cumberland Middle,Cumberland County Public Schools,82.8,Cumberland Middle Cumberland County Public Schools
Cumberland High,Cumberland County Public Schools,71,Cumberland High Cumberland County Public Schools
Mary Ellen Henderson Middle,Falls Church City Public Schools,0,Mary Ellen Henderson Middle Falls Church City Public Schools
Meridian High,Falls Church City Public Schools,0,Meridian High Falls Church City Public Schools
Oak Street Elementary,Falls Church City Public Schools,6.7,Oak Street Elementary Falls Church City Public Schools
Abingdon Elementary,Gloucester County Public Schools,46.1,Abingdon Elementary Gloucester County Public Schools
Achilles Elementary,Gloucester County Public Schools,46.1,Achilles Elementary Gloucester County Public Schools
Bethel Elementary,Gloucester County Public Schools,38,Bethel Elementary Gloucester County Public Schools
Page Middle,Gloucester County Public Schools,43.3,Page Middle Gloucester County Public Schools
Gloucester High,Gloucester County Public Schools,35.1,Gloucester High Gloucester County Public Schools
Botetourt Elementary,Gloucester County Public Schools,42.1,Botetourt Elementary Gloucester County Public Schools
Peasley Middle,Gloucester County Public Schools,36.9,Peasley Middle Gloucester County Public Schools
Petsworth Elementary,Gloucester County Public Schools,45.3,Petsworth Elementary Gloucester County Public Schools
Bluestone Elementary,Harrisonburg City Public Schools,66.9,Bluestone Elementary Harrisonburg City Public Schools
Harrisonburg High,Harrisonburg City Public Schools,66.1,Harrisonburg High Harrisonburg City Public Schools
Keister Elementary,Harrisonburg City Public Schools,68.7,Keister Elementary Harrisonburg City Public Schools
Spotswood Elementary,Harrisonburg City Public Schools,83.7,Spotswood Elementary Harrisonburg City Public Schools
Stone Spring Elementary,Harrisonburg City Public Schools,83.7,Stone Spring Elementary Harrisonburg City Public Schools
Skyline Middle,Harrisonburg City Public Schools,83.7,Skyline Middle Harrisonburg City Public Schools
Smithland Elementary,Harrisonburg City Public Schools,83.8,Smithland Elementary Harrisonburg City Public Schools
Waterman Elementary,Harrisonburg City Public Schools,73.8,Waterman Elementary Harrisonburg City Public Schools
Thomas Harrison Middle,Harrisonburg City Public Schools,66.2,Thomas Harrison Middle Harrisonburg City Public Schools
Albert Harris Elementary,Martinsville City Public Schools,100,Albert Harris Elementary Martinsville City Public Schools
Martinsville Middle,Martinsville City Public Schools,100,Martinsville Middle Martinsville City Public Schools
Patrick Henry Elementary,Martinsville City Public Schools,100,Patrick Henry Elementary Martinsville City Public Schools
Martinsville High,Martinsville City Public Schools,100,Martinsville High Martinsville City Public Schools
Auburn Elementary,Montgomery County Public Schools,46.4,Auburn Elementary Montgomery County Public Schools
Auburn High,Montgomery County Public Schools,34.1,Auburn High Montgomery County Public Schools
Belview Elementary,Montgomery County Public Schools,48.8,Belview Elementary Montgomery County Public Schools
Eastern Montgomery Elementary,Montgomery County Public Schools,70.3,Eastern Montgomery Elementary Montgomery County Public Schools
Eastern Montgomery High,Montgomery County Public Schools,54.9,Eastern Montgomery High Montgomery County Public Schools
Blacksburg High,Montgomery County Public Schools,17.7,Blacksburg High Montgomery County Public Schools
Gilbert Linkous Elementary,Montgomery County Public Schools,28.5,Gilbert Linkous Elementary Montgomery County Public Schools
Harding Avenue Elementary,Montgomery County Public Schools,18.7,Harding Avenue Elementary Montgomery County Public Schools
Kipps Elementary,Montgomery County Public Schools,18,Kipps Elementary Montgomery County Public Schools
Margaret Beeks Elementary,Montgomery County Public Schools,30.8,Margaret Beeks Elementary Montgomery County Public Schools
Prices Fork Elementary,Montgomery County Public Schools,53.9,Prices Fork Elementary Montgomery County Public Schools
Shawsville Middle,Montgomery County Public Schools,58.9,Shawsville Middle Montgomery County Public Schools
Christiansburg High,Montgomery County Public Schools,34.7,Christiansburg High Montgomery County Public Schools
Christiansburg Middle,Montgomery County Public Schools,43.3,Christiansburg Middle Montgomery County Public Schools
Blacksburg Middle,Montgomery County Public Schools,24.3,Blacksburg Middle Montgomery County Public Schools
Christiansburg Elementary,Montgomery County Public Schools,46.3,Christiansburg Elementary Montgomery County Public Schools
Auburn Middle,Montgomery County Public Schools,47.4,Auburn Middle Montgomery County Public Schools
Falling Branch Elementary,Montgomery County Public Schools,42.3,Falling Branch Elementary Montgomery County Public Schools
General Stanford Elementary,Newport News City Public Schools,76.5,General Stanford Elementary Newport News City Public Schools
Deer Park Elementary,Newport News City Public Schools,76.5,Deer Park Elementary Newport News City Public Schools
Hilton Elementary,Newport News City Public Schools,76.4,Hilton Elementary Newport News City Public Schools
Homer L. Hines Middle,Newport News City Public Schools,76.4,Homer L. Hines Middle Newport News City Public Schools
Joseph H. Saunders Elementary,Newport News City Public Schools,76.4,Joseph H. Saunders Elementary Newport News City Public Schools
Warwick High,Newport News City Public Schools,76.5,Warwick High Newport News City Public Schools
Kiln Creek Elementary,Newport News City Public Schools,76.4,Kiln Creek Elementary Newport News City Public Schools
Menchville High,Newport News City Public Schools,76.5,Menchville High Newport News City Public Schools
T. Ryland Sanford Elementary,Newport News City Public Schools,76.4,T. Ryland Sanford Elementary Newport News City Public Schools
Willis A. Jenkins Elementary,Newport News City Public Schools,76.5,Willis A. Jenkins Elementary Newport News City Public Schools
Katherine Johnson Elementary,Newport News City Public Schools,76.5,Katherine Johnson Elementary Newport News City Public Schools
Carver Elementary,Newport News City Public Schools,76.4,Carver Elementary Newport News City Public Schools
Crittenden Middle,Newport News City Public Schools,76.5,Crittenden Middle Newport News City Public Schools
Heritage High,Newport News City Public Schools,76.5,Heritage High Newport News City Public Schools
Huntington Middle,Newport News City Public Schools,76.3,Huntington Middle Newport News City Public Schools
Sedgefield Elementary,Newport News City Public Schools,76.4,Sedgefield Elementary Newport News City Public Schools
Ethel M. Gildersleeve Middle,Newport News City Public Schools,76.5,Ethel M. Gildersleeve Middle Newport News City Public Schools
Hidenwood Elementary,Newport News City Public Schools,76.4,Hidenwood Elementary Newport News City Public Schools
Richard T. Yates Elementary,Newport News City Public Schools,76.4,Richard T. Yates Elementary Newport News City Public Schools
Riverside Elementary,Newport News City Public Schools,76.5,Riverside Elementary Newport News City Public Schools
Achievable Dream Academy,Newport News City Public Schools,76.5,Achievable Dream Academy Newport News City Public Schools
Discovery STEM Academy,Newport News City Public Schools,76.4,Discovery STEM Academy Newport News City Public Schools
Newsome Park Elementary,Newport News City Public Schools,76.4,Newsome Park Elementary Newport News City Public Schools
David A. Dutrow Elementary,Newport News City Public Schools,76.5,David A. Dutrow Elementary Newport News City Public Schools
Mary Passage Middle,Newport News City Public Schools,76.5,Mary Passage Middle Newport News City Public Schools
Oliver C. Greenwood Elementary,Newport News City Public Schools,76.4,Oliver C. Greenwood Elementary Newport News City Public Schools
Woodside High,Newport News City Public Schools,76.5,Woodside High Newport News City Public Schools
Denbigh High,Newport News City Public Schools,76.4,Denbigh High Newport News City Public Schools
Richneck Elementary,Newport News City Public Schools,76.5,Richneck Elementary Newport News City Public Schools
Rockbridge County High,Rockbridge County Public Schools,33.3,Rockbridge County High Rockbridge County Public Schools
Fairfield Elementary,Rockbridge County Public Schools,53.8,Fairfield Elementary Rockbridge County Public Schools
Mountain View Elementary,Rockbridge County Public Schools,45.9,Mountain View Elementary Rockbridge County Public Schools
Natural Bridge Elementary,Rockbridge County Public Schools,70.3,Natural Bridge Elementary Rockbridge County Public Schools
Central Elementary,Rockbridge County Public Schools,52.3,Central Elementary Rockbridge County Public Schools
Maury River Middle,Rockbridge County Public Schools,51.2,Maury River Middle Rockbridge County Public Schools
Ottobine Elementary,Rockingham County Public Schools,55.1,Ottobine Elementary Rockingham County Public Schools
Wilbur S. Pence Middle,Rockingham County Public Schools,38.9,Wilbur S. Pence Middle Rockingham County Public Schools
Elkton Elementary,Rockingham County Public Schools,44.4,Elkton Elementary Rockingham County Public Schools
River Bend Elementary,Rockingham County Public Schools,56.7,River Bend Elementary Rockingham County Public Schools
J. Frank Hillyard Middle,Rockingham County Public Schools,43.5,J. Frank Hillyard Middle Rockingham County Public Schools
Fulks Run Elementary,Rockingham County Public Schools,53.4,Fulks Run Elementary Rockingham County Public Schools
Cub Run Elementary,Rockingham County Public Schools,46.4,Cub Run Elementary Rockingham County Public Schools
Spotswood High,Rockingham County Public Schools,34.2,Spotswood High Rockingham County Public Schools
John W. Wayland Elementary,Rockingham County Public Schools,29,John W. Wayland Elementary Rockingham County Public Schools
Mountain View Elementary,Rockingham County Public Schools,47.5,Mountain View Elementary Rockingham County Public Schools
Pleasant Valley Elementary,Rockingham County Public Schools,61.1,Pleasant Valley Elementary Rockingham County Public Schools
Lacey Spring Elementary,Rockingham County Public Schools,46.4,Lacey Spring Elementary Rockingham County Public Schools
Elkton Middle,Rockingham County Public Schools,43.7,Elkton Middle Rockingham County Public Schools
Broadway High,Rockingham County Public Schools,33.6,Broadway High Rockingham County Public Schools
East Rockingham High,Rockingham County Public Schools,35.2,East Rockingham High Rockingham County Public Schools
Plains Elementary,Rockingham County Public Schools,51.9,Plains Elementary Rockingham County Public Schools
South River Elementary,Rockingham County Public Schools,40.5,South River Elementary Rockingham County Public Schools
John C. Myers Elementary,Rockingham County Public Schools,38.8,John C. Myers Elementary Rockingham County Public Schools
Peak View Elementary,Rockingham County Public Schools,36.5,Peak View Elementary Rockingham County Public Schools
Montevideo Middle,Rockingham County Public Schools,38.6,Montevideo Middle Rockingham County Public Schools
McGaheysville Elementary,Rockingham County Public Schools,40.8,McGaheysville Elementary Rockingham County Public Schools
Turner Ashby High,Rockingham County Public Schools,30.8,Turner Ashby High Rockingham County Public Schools
Linville-Edom Elementary,Rockingham County Public Schools,41.5,Linville-Edom Elementary Rockingham County Public Schools
