School Name,Division Name,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Total_Per_Pupil_Expenditures,Total_Expenditures,Sch_Div
Herbert J. Saunders Middle,Prince William County Public Schools,1216.6,455,8021,571,3640,12687,15435024,Herbert J. Saunders Middle Prince William County Public Schools
Louise A. Benton Middle,Prince William County Public Schools,1391.4,227,8610,571,3640,13048,18154597,Louise A. Benton Middle Prince William County Public Schools
Thurgood Marshall Elementary,Prince William County Public Schools,656.94,291,7606,571,3640,12107,7953674,Thurgood Marshall Elementary Prince William County Public Schools
Graham Park Middle,Prince William County Public Schools,707.36,733,10065,571,3640,15009,10616784,Graham Park Middle Prince William County Public Schools
J.W. Alvey Elementary,Prince William County Public Schools,584.9,504,8901,571,3640,13616,7964227,J.W. Alvey Elementary Prince William County Public Schools
Ronald Wilson Reagan Middle,Prince William County Public Schools,1385.69,329,7841,571,3640,12381,17155736,Ronald Wilson Reagan Middle Prince William County Public Schools
Samuel L. Gravely Jr. Elementary,Prince William County Public Schools,809.59,583,7824,571,3640,12618,10215349,Samuel L. Gravely Jr. Elementary Prince William County Public Schools
Brentsville District High,Prince William County Public Schools,942.95,122,10733,571,3640,15066,14206865,Brentsville District High Prince William County Public Schools
The Nokesville School,Prince William County Public Schools,1143.07,223,7841,571,3640,12276,14031934,The Nokesville School Prince William County Public Schools
Belmont Elementary,Prince William County Public Schools,516.68,1281,10157,571,3640,15649,8085559,Belmont Elementary Prince William County Public Schools
Elizabeth Vaughan Elementary,Prince William County Public Schools,552.52,1418,10218,571,3640,15847,8755765,Elizabeth Vaughan Elementary Prince William County Public Schools
Featherstone Elementary,Prince William County Public Schools,525.69,1224,9825,571,3640,15260,8022084,Featherstone Elementary Prince William County Public Schools
Fred M. Lynn Middle,Prince William County Public Schools,1122.86,1089,8847,571,3640,14147,15885242,Fred M. Lynn Middle Prince William County Public Schools
Marumsco Hills Elementary,Prince William County Public Schools,540.09,1631,10634,571,3640,16476,8898643,Marumsco Hills Elementary Prince William County Public Schools
Mary G. Porter Traditional,Prince William County Public Schools,666.1,553,8261,571,3640,13025,8675897,Mary G. Porter Traditional Prince William County Public Schools
Potomac View Elementary,Prince William County Public Schools,563.47,1003,8808,571,3640,14022,7900849,Potomac View Elementary Prince William County Public Schools
R. Dean Kilby Elementary,Prince William County Public Schools,634.67,1810,10200,571,3640,16221,10294961,R. Dean Kilby Elementary Prince William County Public Schools
Rippon Middle,Prince William County Public Schools,1200.71,850,8781,571,3640,13842,16620284,Rippon Middle Prince William County Public Schools
Woodbridge Middle,Prince William County Public Schools,1031.07,626,8223,571,3640,13061,13466319,Woodbridge Middle Prince William County Public Schools
Antietam Elementary,Prince William County Public Schools,771.17,416,8555,571,3640,13182,10165391,Antietam Elementary Prince William County Public Schools
Gar-Field High,Prince William County Public Schools,2481.07,225,8756,571,3640,13192,32729759,Gar-Field High Prince William County Public Schools
John D. Jenkins Elementary,Prince William County Public Schools,633.26,730,8862,571,3640,13804,8741234,John D. Jenkins Elementary Prince William County Public Schools
Occoquan Elementary,Prince William County Public Schools,616.71,900,9699,571,3640,14810,9133497,Occoquan Elementary Prince William County Public Schools
Old Bridge Elementary,Prince William County Public Schools,482.3,278,10142,571,3640,14631,7056316,Old Bridge Elementary Prince William County Public Schools
Bel Air Elementary,Prince William County Public Schools,399.79,1418,11125,571,3640,16753,6697816,Bel Air Elementary Prince William County Public Schools
C.D. Hylton High,Prince William County Public Schools,2074.91,354,9115,571,3640,13680,28384831,C.D. Hylton High Prince William County Public Schools
Dale City Elementary,Prince William County Public Schools,422.09,1649,11556,571,3640,17416,7350926,Dale City Elementary Prince William County Public Schools
Enterprise Elementary,Prince William County Public Schools,396.94,1030,10996,571,3640,16237,6445147,Enterprise Elementary Prince William County Public Schools
Forest Park High,Prince William County Public Schools,2297.08,229,8706,571,3640,13145,30196239,Forest Park High Prince William County Public Schools
George M. Hampton Middle,Prince William County Public Schools,926.76,846,9278,571,3640,14335,13285435,George M. Hampton Middle Prince William County Public Schools
Kerrydale Elementary,Prince William County Public Schools,342.21,1442,11397,571,3640,17051,5834911,Kerrydale Elementary Prince William County Public Schools
Kyle R. Wilson Elementary,Prince William County Public Schools,867.64,333,7838,571,3640,12382,10743418,Kyle R. Wilson Elementary Prince William County Public Schools
Neabsco Elementary,Prince William County Public Schools,648.86,966,9246,571,3640,14423,9358701,Neabsco Elementary Prince William County Public Schools
Rosa Parks Elementary,Prince William County Public Schools,618.66,263,9267,571,3640,13740,8500650,Rosa Parks Elementary Prince William County Public Schools
Sharon C. McAuliffe Elementary,Prince William County Public Schools,423.06,1203,10611,571,3640,16025,6779559,Sharon C. McAuliffe Elementary Prince William County Public Schools
Sonnie Penn Elementary,Prince William County Public Schools,692.21,343,9288,571,3640,13841,9581106,Sonnie Penn Elementary Prince William County Public Schools
Stuart M. Beville Middle,Prince William County Public Schools,1096.33,257,9518,571,3640,13986,15333140,Stuart M. Beville Middle Prince William County Public Schools
Buckland Mills Elementary,Prince William County Public Schools,744.84,352,8368,571,3640,12931,9631287,Buckland Mills Elementary Prince William County Public Schools
Bull Run Middle,Prince William County Public Schools,1095.61,554,9784,571,3640,14549,15940318,Bull Run Middle Prince William County Public Schools
Gainesville High,Prince William County Public Schools,1387.58,234,9119,571,3640,13564,18821003,Gainesville High Prince William County Public Schools
Gainesville Middle,Prince William County Public Schools,1395.28,272,8319,571,3640,12801,17861415,Gainesville Middle Prince William County Public Schools
Glenkirk Elementary,Prince William County Public Schools,643.89,325,9634,571,3640,14170,9124037,Glenkirk Elementary Prince William County Public Schools
Lake Ridge Elementary,Prince William County Public Schools,683.74,355,8065,571,3640,12631,8636079,Lake Ridge Elementary Prince William County Public Schools
Patriot High,Prince William County Public Schools,2318.5,222,8727,571,3640,13160,30510862,Patriot High Prince William County Public Schools
Rockledge Elementary,Prince William County Public Schools,482.44,448,9939,571,3640,14598,7042548,Rockledge Elementary Prince William County Public Schools
Minnieville Elementary,Prince William County Public Schools,602.97,1039,9849,571,3640,15098,9103874,Minnieville Elementary Prince William County Public Schools
Lake Ridge Middle,Prince William County Public Schools,1405.59,205,8117,571,3640,12534,17617251,Lake Ridge Middle Prince William County Public Schools
John F. Pattie Sr. Elementary,Prince William County Public Schools,902.22,270,6491,571,3640,10972,9898830,John F. Pattie Sr. Elementary Prince William County Public Schools
George G. Tyler Elementary,Prince William County Public Schools,449.91,768,9680,571,3640,14660,6595641,George G. Tyler Elementary Prince William County Public Schools
Fannie W. Fitzgerald Elementary,Prince William County Public Schools,900.69,523,8399,571,3640,13134,11829382,Fannie W. Fitzgerald Elementary Prince William County Public Schools
Sudley Elementary,Prince William County Public Schools,651.11,890,9833,571,3640,14934,9723770,Sudley Elementary Prince William County Public Schools
Unity Reed High,Prince William County Public Schools,2409.25,196,9153,571,3640,13560,32668515,Unity Reed High Prince William County Public Schools
Triangle Elementary,Prince William County Public Schools,730.98,946,9228,571,3640,14385,10514933,Triangle Elementary Prince William County Public Schools
Parkside Middle,Prince William County Public Schools,1452.02,637,8320,571,3640,13168,19120759,Parkside Middle Prince William County Public Schools
Yorkshire Elementary,Prince William County Public Schools,804.97,966,9098,571,3640,14276,11491741,Yorkshire Elementary Prince William County Public Schools
Springwoods Elementary,Prince William County Public Schools,865.78,269,7721,571,3640,12201,10563307,Springwoods Elementary Prince William County Public Schools
Haymarket Elementary,Prince William County Public Schools,880.19,315,7767,571,3640,12293,10819782,Haymarket Elementary Prince William County Public Schools
Mountain View Elementary,Prince William County Public Schools,496.04,415,9771,571,3640,14396,7141159,Mountain View Elementary Prince William County Public Schools
Montclair Elementary,Prince William County Public Schools,609.84,414,9084,571,3640,13709,8360099,Montclair Elementary Prince William County Public Schools
River Oaks Elementary,Prince William County Public Schools,578.63,976,9463,571,3640,14650,8477135,River Oaks Elementary Prince William County Public Schools
C.A. Sinclair Elementary,Prince William County Public Schools,809.51,1270,9651,571,3640,15132,12249535,C.A. Sinclair Elementary Prince William County Public Schools
Signal Hill Elementary,Prince William County Public Schools,754.39,370,8176,571,3640,12757,9623864,Signal Hill Elementary Prince William County Public Schools
Leesylvania Elementary,Prince William County Public Schools,682.01,391,9738,571,3640,14340,9780189,Leesylvania Elementary Prince William County Public Schools
Woodbridge High,Prince William County Public Schools,2798.82,214,8116,571,3640,12540,35098484,Woodbridge High Prince William County Public Schools
Martin Luther King Jr. Elementary,Prince William County Public Schools,428.34,480,10181,571,3640,14872,6370323,Martin Luther King Jr. Elementary Prince William County Public Schools
Westridge Elementary,Prince William County Public Schools,684.67,251,8084,571,3640,12546,8589704,Westridge Elementary Prince William County Public Schools
T. Clay Wood Elementary,Prince William County Public Schools,838.72,629,8422,571,3640,13262,11123455,T. Clay Wood Elementary Prince William County Public Schools
Toano Middle,Williamsburg-James City County Public Schools,616.07,327,8455,559,4980,14321,8822671,Toano Middle Williamsburg-James City County Public Schools
Berkeley Middle,Williamsburg-James City County Public Schools,618.65,378,8619,559,4980,14535,8992383,Berkeley Middle Williamsburg-James City County Public Schools
James Blair Middle,Williamsburg-James City County Public Schools,541.63,317,8101,559,4980,13957,7559428,James Blair Middle Williamsburg-James City County Public Schools
Matthew Whaley Elementary,Williamsburg-James City County Public Schools,455.17,1244,8881,559,4980,15664,7129774,Matthew Whaley Elementary Williamsburg-James City County Public Schools
Lafayette High,Williamsburg-James City County Public Schools,1081.74,315,8180,559,4980,14034,15181273,Lafayette High Williamsburg-James City County Public Schools
Lois Hornsby Middle,Williamsburg-James City County Public Schools,782.63,183,7784,559,4980,13507,10570620,Lois Hornsby Middle Williamsburg-James City County Public Schools
Matoaka Elementary,Williamsburg-James City County Public Schools,658.82,566,8034,559,4980,14138,9314660,Matoaka Elementary Williamsburg-James City County Public Schools
Warhill High,Williamsburg-James City County Public Schools,1263.61,116,7315,559,4980,12970,16388780,Warhill High Williamsburg-James City County Public Schools
Norge Elementary,Williamsburg-James City County Public Schools,621.41,858,8975,559,4980,15371,9551848,Norge Elementary Williamsburg-James City County Public Schools
Jamestown High,Williamsburg-James City County Public Schools,1163.67,262,7711,559,4980,13512,15723668,Jamestown High Williamsburg-James City County Public Schools
Stonehouse Elementary,Williamsburg-James City County Public Schools,753.51,923,7297,559,4980,13759,10367224,Stonehouse Elementary Williamsburg-James City County Public Schools
James River Elementary,Williamsburg-James City County Public Schools,421.53,1120,10786,559,4980,17445,7353383,James River Elementary Williamsburg-James City County Public Schools
Clara Byrd Baker Elementary,Williamsburg-James City County Public Schools,507.08,558,9534,559,4980,15631,7925938,Clara Byrd Baker Elementary Williamsburg-James City County Public Schools
Laurel Lane Elementary,Williamsburg-James City County Public Schools,458.64,899,9535,559,4980,15972,7325442,Laurel Lane Elementary Williamsburg-James City County Public Schools
D.J. Montague Elementary,Williamsburg-James City County Public Schools,500.28,815,8406,559,4980,14760,7384080,D.J. Montague Elementary Williamsburg-James City County Public Schools
J. Blaine Blayton Elementary,Williamsburg-James City County Public Schools,505.06,566,9332,559,4980,15436,7796098,J. Blaine Blayton Elementary Williamsburg-James City County Public Schools
