School,Division,Poverty_Level,Title_1_Code,Provisional_Percent,Sch_Div
Sunnyside Elementary,Dinwiddie County Public Schools,Medium Poverty,Title I,0,Sunnyside Elementary Dinwiddie County Public Schools
Sutherland Elementary,Dinwiddie County Public Schools,Medium Poverty,Title I,4.9,Sutherland Elementary Dinwiddie County Public Schools
Middletown Elementary,Frederick County Public Schools,Medium Poverty,Title I,4.3,Middletown Elementary Frederick County Public Schools
Robert E. Aylor Middle,Frederick County Public Schools,Medium Poverty,Non-Title I,11.1,Robert E. Aylor Middle Frederick County Public Schools
Admiral Richard E. Byrd Middle,Frederick County Public Schools,Low Poverty,Non-Title I,9.2,Admiral Richard E. Byrd Middle Frederick County Public Schools
Armel Elementary,Frederick County Public Schools,Low Poverty,Non-Title I,3.9,Armel Elementary Frederick County Public Schools
Greenwood Mill Elementary,Frederick County Public Schools,Low Poverty,Non-Title I,2.1,Greenwood Mill Elementary Frederick County Public Schools
Orchard View Elementary,Frederick County Public Schools,Medium Poverty,Title I,2.5,Orchard View Elementary Frederick County Public Schools
Frederick County Middle,Frederick County Public Schools,Medium Poverty,Non-Title I,7.1,Frederick County Middle Frederick County Public Schools
Gainesboro Elementary,Frederick County Public Schools,Medium Poverty,Title I,5,Gainesboro Elementary Frederick County Public Schools
James Wood High,Frederick County Public Schools,Low Poverty,Non-Title I,6.3,James Wood High Frederick County Public Schools
Redbud Run Elementary,Frederick County Public Schools,Medium Poverty,Title I,0,Redbud Run Elementary Frederick County Public Schools
Stonewall Elementary,Frederick County Public Schools,Medium Poverty,Title I,9.3,Stonewall Elementary Frederick County Public Schools
Sherando High,Frederick County Public Schools,Low Poverty,Non-Title I,5.1,Sherando High Frederick County Public Schools
James Wood Middle,Frederick County Public Schools,Medium Poverty,Non-Title I,9,James Wood Middle Frederick County Public Schools
Apple Pie Ridge Elementary,Frederick County Public Schools,Medium Poverty,Title I,14.6,Apple Pie Ridge Elementary Frederick County Public Schools
Evendale Elementary,Frederick County Public Schools,Medium Poverty,Title I,8.5,Evendale Elementary Frederick County Public Schools
Millbrook High,Frederick County Public Schools,Medium Poverty,Non-Title I,3.1,Millbrook High Frederick County Public Schools
Bass-Hoover Elementary,Frederick County Public Schools,Medium Poverty,Title I,6.4,Bass-Hoover Elementary Frederick County Public Schools
Indian Hollow Elementary,Frederick County Public Schools,Medium Poverty,Title I,5.1,Indian Hollow Elementary Frederick County Public Schools
Byrd Elementary,Goochland County Public Schools,Medium Poverty,Title I,0,Byrd Elementary Goochland County Public Schools
Goochland Elementary,Goochland County Public Schools,Low Poverty,Non-Title I,2.2,Goochland Elementary Goochland County Public Schools
Goochland High,Goochland County Public Schools,Low Poverty,Non-Title I,6.9,Goochland High Goochland County Public Schools
Goochland Middle,Goochland County Public Schools,Low Poverty,Non-Title I,6.3,Goochland Middle Goochland County Public Schools
Randolph Elementary,Goochland County Public Schools,Low Poverty,Non-Title I,0,Randolph Elementary Goochland County Public Schools
Lancaster High,Lancaster County Public Schools,Medium Poverty,Non-Title I,12.5,Lancaster High Lancaster County Public Schools
Lancaster Middle,Lancaster County Public Schools,Medium Poverty,Non-Title I,15.6,Lancaster Middle Lancaster County Public Schools
Lancaster Primary,Lancaster County Public Schools,Medium Poverty,Title I,19.4,Lancaster Primary Lancaster County Public Schools
Victoria Elementary,Lunenburg County Public Schools,High Poverty,Title I,5.9,Victoria Elementary Lunenburg County Public Schools
Lunenburg Middle,Lunenburg County Public Schools,High Poverty,Non-Title I,10.3,Lunenburg Middle Lunenburg County Public Schools
Central High,Lunenburg County Public Schools,Medium Poverty,Non-Title I,10.7,Central High Lunenburg County Public Schools
Kenbridge Elementary,Lunenburg County Public Schools,High Poverty,Title I,18.2,Kenbridge Elementary Lunenburg County Public Schools
Middlesex High,Middlesex County Public Schools,Medium Poverty,Non-Title I,6.1,Middlesex High Middlesex County Public Schools
St. Clare Walker Middle,Middlesex County Public Schools,Medium Poverty,Non-Title I,9.5,St. Clare Walker Middle Middlesex County Public Schools
Middlesex Elementary,Middlesex County Public Schools,Medium Poverty,Title I,2.5,Middlesex Elementary Middlesex County Public Schools
Appomattox Elementary,Appomattox County Public Schools,Medium Poverty,Title I,2.1,Appomattox Elementary Appomattox County Public Schools
Appomattox Middle,Appomattox County Public Schools,Medium Poverty,Non-Title I,8.6,Appomattox Middle Appomattox County Public Schools
Appomattox County High,Appomattox County Public Schools,Medium Poverty,Non-Title I,6.8,Appomattox County High Appomattox County Public Schools
Buckingham Co Elementary,Buckingham County Public Schools,High Poverty,Title I,6.9,Buckingham Co Elementary Buckingham County Public Schools
Buckingham County High,Buckingham County Public Schools,Medium Poverty,Non-Title I,4.1,Buckingham County High Buckingham County Public Schools
Buckingham County Middle,Buckingham County Public Schools,High Poverty,Non-Title I,2.5,Buckingham County Middle Buckingham County Public Schools
Cumberland Elementary,Cumberland County Public Schools,High Poverty,Title I,6.5,Cumberland Elementary Cumberland County Public Schools
Cumberland Middle,Cumberland County Public Schools,High Poverty,Non-Title I,18.4,Cumberland Middle Cumberland County Public Schools
Cumberland High,Cumberland County Public Schools,High Poverty,Non-Title I,22,Cumberland High Cumberland County Public Schools
Mary Ellen Henderson Middle,Falls Church City Public Schools,Medium Poverty,Non-Title I,6,Mary Ellen Henderson Middle Falls Church City Public Schools
Meridian High,Falls Church City Public Schools,Medium Poverty,Non-Title I,6.9,Meridian High Falls Church City Public Schools
Oak Street Elementary,Falls Church City Public Schools,Low Poverty,Title I,5.9,Oak Street Elementary Falls Church City Public Schools
Abingdon Elementary,Gloucester County Public Schools,Medium Poverty,Title I,13.3,Abingdon Elementary Gloucester County Public Schools
Achilles Elementary,Gloucester County Public Schools,Medium Poverty,Title I,16.2,Achilles Elementary Gloucester County Public Schools
Bethel Elementary,Gloucester County Public Schools,Medium Poverty,Title I,9.1,Bethel Elementary Gloucester County Public Schools
Page Middle,Gloucester County Public Schools,Medium Poverty,Non-Title I,11.3,Page Middle Gloucester County Public Schools
Gloucester High,Gloucester County Public Schools,Medium Poverty,Non-Title I,8.6,Gloucester High Gloucester County Public Schools
Botetourt Elementary,Gloucester County Public Schools,Medium Poverty,Title I,7.8,Botetourt Elementary Gloucester County Public Schools
Peasley Middle,Gloucester County Public Schools,Medium Poverty,Non-Title I,9.4,Peasley Middle Gloucester County Public Schools
Petsworth Elementary,Gloucester County Public Schools,Medium Poverty,Title I,3.3,Petsworth Elementary Gloucester County Public Schools
Bluestone Elementary,Harrisonburg City Public Schools,Medium Poverty,Title I,4.4,Bluestone Elementary Harrisonburg City Public Schools
Harrisonburg High,Harrisonburg City Public Schools,High Poverty,Non-Title I,8.4,Harrisonburg High Harrisonburg City Public Schools
Keister Elementary,Harrisonburg City Public Schools,Medium Poverty,Title I,8.6,Keister Elementary Harrisonburg City Public Schools
Spotswood Elementary,Harrisonburg City Public Schools,High Poverty,Title I,5.9,Spotswood Elementary Harrisonburg City Public Schools
Stone Spring Elementary,Harrisonburg City Public Schools,High Poverty,Title I,0,Stone Spring Elementary Harrisonburg City Public Schools
Skyline Middle,Harrisonburg City Public Schools,High Poverty,Non-Title I,10.4,Skyline Middle Harrisonburg City Public Schools
Smithland Elementary,Harrisonburg City Public Schools,High Poverty,Title I,1.8,Smithland Elementary Harrisonburg City Public Schools
Waterman Elementary,Harrisonburg City Public Schools,Medium Poverty,Title I,7,Waterman Elementary Harrisonburg City Public Schools
Thomas Harrison Middle,Harrisonburg City Public Schools,High Poverty,Non-Title I,9.9,Thomas Harrison Middle Harrisonburg City Public Schools
Albert Harris Elementary,Martinsville City Public Schools,High Poverty,Title I,15.4,Albert Harris Elementary Martinsville City Public Schools
Martinsville Middle,Martinsville City Public Schools,High Poverty,Title I,15.8,Martinsville Middle Martinsville City Public Schools
Patrick Henry Elementary,Martinsville City Public Schools,High Poverty,Title I,9.7,Patrick Henry Elementary Martinsville City Public Schools
Martinsville High,Martinsville City Public Schools,High Poverty,Non-Title I,14.3,Martinsville High Martinsville City Public Schools
Auburn Elementary,Montgomery County Public Schools,Medium Poverty,Title I,1.9,Auburn Elementary Montgomery County Public Schools
Auburn High,Montgomery County Public Schools,Medium Poverty,Non-Title I,4,Auburn High Montgomery County Public Schools
Belview Elementary,Montgomery County Public Schools,Medium Poverty,Title I,0,Belview Elementary Montgomery County Public Schools
Eastern Montgomery Elementary,Montgomery County Public Schools,Medium Poverty,Title I,4.1,Eastern Montgomery Elementary Montgomery County Public Schools
Eastern Montgomery High,Montgomery County Public Schools,Medium Poverty,Non-Title I,7.1,Eastern Montgomery High Montgomery County Public Schools
Blacksburg High,Montgomery County Public Schools,Low Poverty,Non-Title I,3.7,Blacksburg High Montgomery County Public Schools
Gilbert Linkous Elementary,Montgomery County Public Schools,Low Poverty,Non-Title I,0,Gilbert Linkous Elementary Montgomery County Public Schools
Harding Avenue Elementary,Montgomery County Public Schools,Low Poverty,Non-Title I,13.3,Harding Avenue Elementary Montgomery County Public Schools
Kipps Elementary,Montgomery County Public Schools,Low Poverty,Non-Title I,2.7,Kipps Elementary Montgomery County Public Schools
Margaret Beeks Elementary,Montgomery County Public Schools,Medium Poverty,Non-Title I,2.8,Margaret Beeks Elementary Montgomery County Public Schools
Prices Fork Elementary,Montgomery County Public Schools,Medium Poverty,Title I,4.3,Prices Fork Elementary Montgomery County Public Schools
Shawsville Middle,Montgomery County Public Schools,Medium Poverty,Non-Title I,5.7,Shawsville Middle Montgomery County Public Schools
Christiansburg High,Montgomery County Public Schools,Medium Poverty,Non-Title I,5.9,Christiansburg High Montgomery County Public Schools
Christiansburg Middle,Montgomery County Public Schools,Medium Poverty,Non-Title I,3.8,Christiansburg Middle Montgomery County Public Schools
Blacksburg Middle,Montgomery County Public Schools,Low Poverty,Non-Title I,3.6,Blacksburg Middle Montgomery County Public Schools
Christiansburg Elementary,Montgomery County Public Schools,Medium Poverty,Title I,7.5,Christiansburg Elementary Montgomery County Public Schools
Auburn Middle,Montgomery County Public Schools,Medium Poverty,Non-Title I,5.3,Auburn Middle Montgomery County Public Schools
Falling Branch Elementary,Montgomery County Public Schools,Medium Poverty,Title I,3.7,Falling Branch Elementary Montgomery County Public Schools
General Stanford Elementary,Newport News City Public Schools,Medium Poverty,Non-Title I,0,General Stanford Elementary Newport News City Public Schools
Deer Park Elementary,Newport News City Public Schools,Medium Poverty,Non-Title I,3.1,Deer Park Elementary Newport News City Public Schools
Hilton Elementary,Newport News City Public Schools,Medium Poverty,Non-Title I,0,Hilton Elementary Newport News City Public Schools
Homer L. Hines Middle,Newport News City Public Schools,High Poverty,Non-Title I,16.9,Homer L. Hines Middle Newport News City Public Schools
Joseph H. Saunders Elementary,Newport News City Public Schools,Medium Poverty,Title I,7.1,Joseph H. Saunders Elementary Newport News City Public Schools
Warwick High,Newport News City Public Schools,High Poverty,Non-Title I,13.6,Warwick High Newport News City Public Schools
Kiln Creek Elementary,Newport News City Public Schools,Medium Poverty,Non-Title I,9.5,Kiln Creek Elementary Newport News City Public Schools
Menchville High,Newport News City Public Schools,High Poverty,Non-Title I,3.2,Menchville High Newport News City Public Schools
T. Ryland Sanford Elementary,Newport News City Public Schools,Medium Poverty,Title I,0,T. Ryland Sanford Elementary Newport News City Public Schools
Willis A. Jenkins Elementary,Newport News City Public Schools,Medium Poverty,Title I,9.4,Willis A. Jenkins Elementary Newport News City Public Schools
Katherine Johnson Elementary,Newport News City Public Schools,Medium Poverty,Title I,5.4,Katherine Johnson Elementary Newport News City Public Schools
Carver Elementary,Newport News City Public Schools,Medium Poverty,Title I,12.5,Carver Elementary Newport News City Public Schools
Crittenden Middle,Newport News City Public Schools,High Poverty,Non-Title I,12.5,Crittenden Middle Newport News City Public Schools
Heritage High,Newport News City Public Schools,High Poverty,Non-Title I,12.9,Heritage High Newport News City Public Schools
Huntington Middle,Newport News City Public Schools,High Poverty,Non-Title I,12.5,Huntington Middle Newport News City Public Schools
Sedgefield Elementary,Newport News City Public Schools,Medium Poverty,Title I,7.9,Sedgefield Elementary Newport News City Public Schools
